gene_id,SRR25115639,SRR25115640,SRR25115641,SRR25115642,SRR25115643,SRR25115644,SRR25115645,SRR25115646,SRR25115647
Nfkbib,275.00011,276.0,272.0,290.0003,259.0004,342.99986,253.99996,216.0,212.99953
Nfkbid,21.9999965,27.99998227,18.0,64.0000000144517,60.99996489,73.0,6.00000278,11.9999821,7.0
Nfkbie,187.0005,134.00039999999998,88.00003000000001,296.00010000000003,298.0002,325.00030000000004,37.00004,39.999970000000005,37.00005
Nfkbil1,102.83549,106.0,90.0,190.0003,195.76486,258.00047,73.0,58.79942,73.0
Nfkbiz,242.0,178.00029999999998,124.9996,507.0,477.00021,444.0,69.0,96.99999002177208,80.0
Nfrkb,352.0003771006,341.0000769636,277.0002,470.9997728132501,474.99954,407.999820267997,233.99991,234.9999924238,212.00046
Nfs1,849.3032499999999,969.41688,1091.00304,620.0000200000001,556.99963,679.9998300000001,1557.78743,1274.9985800000002,1464.0044
Nfu1,575.0002,585.99961,605.99972,595.00022,505.00038,601.08745,615.9996100000001,549.00036,605.9995299999999
Nfx1,896.9993999999999,869.99938,812.0003803999999,993.00073,971.00062009,1046.00018,565.9998899999999,500.99946,539.000163046
Nfxl1,181.32018,134.00046999999998,96.00004,331.999735675,326.99956000000003,301.0001,77.99995,73.00001,112.99958
Nfya,565.99942,464.99992,434.9996,768.9997,778.99963,679.99988,279.999554691,283.9996,258.00041
