,gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Rank
5957,KHDC4,21652379.893506017,0.0102878902893595,0.117189378158576,0.0877885901522438,0.9300447064902394,0.9385439972557814,0.0002833836789098044
5958,CDK18,20348796.278209355,0.0113846130403626,0.1445195425582149,0.0787755955965381,0.9372111156033298,0.9449645604629784,0.0002798847776565982
5959,ERG,26338469.2987254,0.0107091348779522,0.1352381165802843,0.0791872524459091,0.9368836838259288,0.9448240357785872,0.00026397018368464425
5960,RPL36,740944077.7189454,0.0094173880425725,0.107259546012697,0.0877999990924607,0.9300356384877616,0.9385439972557814,0.00025940537798946003
5961,SMYD3,4204712.135332176,0.0120957789849851,0.1847010413984713,0.0654884178963016,0.9477851277204992,0.9539947002109552,0.000247407522438378
5962,SIK2,7784157.123587786,0.0142219608140166,0.2588409618628896,0.0549447842863069,0.9561824530426164,0.961053973244696,0.0002453604176083891
5963,FBXW8,24160763.41064738,0.0062385670746638,0.0577663030365906,0.107996647642696,0.9139983514511834,0.9245872638408912,0.00021243626776608663
5964,RNPC3,8372442.272590884,0.0103756580607197,0.1681393906208205,0.0617086693511243,0.9507948359853762,0.9566274495858832,0.0001998057238353145
5965,STAU1,40741989.68463645,0.0073921974074015,0.0865139860926711,0.08544511403605,0.9319075284628436,0.9401181674801374,0.00019824065784756077
5966,ATP11B,13935794.017522996,0.0078806928958711,0.1025586080150145,0.0768408722427026,0.9387501354927428,0.9462345647766316,0.00018914602138125035
5967,DNAJB6,61595528.684319295,0.0052055816335063,0.0470544220036307,0.1106289571064041,0.9119105839753692,0.9228598980829698,0.0001814885715027417
5968,MAST4,12462621.660767756,0.0082630219387246,0.1195811160929316,0.06909972250387,0.9449102419120056,0.9514165925075504,0.00017872320561178697
5969,SCAND1,32976665.987531107,0.0085165093435827,0.1319423163754037,0.0645472171289725,0.9485345116370968,0.954669820693212,0.00017158046379620623
5970,IRS2,5860825.050784304,0.0097772928972253,0.1781156883617767,0.0548929349635184,0.9562237604764726,0.961053973244696,0.00016868002237626863
